file,route,kind,verbs,is_client,dynamic_segments,requires_auth,matcher_pattern,auth_hooks,backend_api_calls,swr_keys,lines_of_code,body_hash,duplicate_flags,recommendation
apps/data360/src/app/(dashboard)/account-overview/error.tsx,/account-overview,error-boundary,,true,0,true,/account-overview,,,,79,ef359af8002f,,OK
apps/data360/src/app/(dashboard)/account-overview/loading.tsx,/account-overview,loading,,false,0,true,/account-overview,,,,92,38a7caa39836,,OK
apps/data360/src/app/(dashboard)/account-overview/page.tsx,/account-overview,page,,true,0,true,/account-overview,,,,400,2e188388e836,,OK
apps/data360/src/app/(dashboard)/admin/data360-config/error.tsx,/admin/data360-config,error-boundary,,true,0,false,,,,,31,be39e4ab730f,,OK
apps/data360/src/app/(dashboard)/admin/data360-config/loading.tsx,/admin/data360-config,loading,,false,0,false,,,,,17,de822b7415e0,,OK
apps/data360/src/app/(dashboard)/admin/data360-config/page.tsx,/admin/data360-config,page,,true,0,false,,,,,227,af0f5f114f82,,Page not in middleware.ts matcher — add to RBAC matcher unless intentionally public.
apps/data360/src/app/(dashboard)/admin/data360-platform/error.tsx,/admin/data360-platform,error-boundary,,true,0,false,,,,,31,be39e4ab730f,,OK
apps/data360/src/app/(dashboard)/admin/data360-platform/loading.tsx,/admin/data360-platform,loading,,false,0,false,,,,,21,2146efa9dc9c,,OK
apps/data360/src/app/(dashboard)/admin/data360-platform/page.tsx,/admin/data360-platform,page,,true,0,false,,,,,237,3253ee3bbeb1,,Page not in middleware.ts matcher — add to RBAC matcher unless intentionally public.
apps/data360/src/app/(dashboard)/affiliate/page.tsx,/affiliate,page,,false,0,false,,,,,4,a86e0bb184e1,,Page not in middleware.ts matcher — add to RBAC matcher unless intentionally public.
apps/data360/src/app/(dashboard)/analytics/page.tsx,/analytics,page,,false,0,true,/analytics,,,,12,16ab18ef5639,,OK
apps/data360/src/app/(dashboard)/appointment/list/page.tsx,/appointment/list,page,,false,0,false,,,,,18,be236855fe41,,Page not in middleware.ts matcher — add to RBAC matcher unless intentionally public.
apps/data360/src/app/(dashboard)/appointment/page.tsx,/appointment,page,,false,0,false,,,,,8,7275ede27d63,,Page not in middleware.ts matcher — add to RBAC matcher unless intentionally public.
